title,link,published,description,source,source sub-category,id
"Ganguly on Rahul: 'When you fail for a while, obviously there will be criticism'",https://www.espncricinfo.com/ci/content/story/1360922.html?ex_cid=OTC-RSS,"Mon, 27 Feb 2023 10:01:38","""Perhaps message from team management is that he has to wait,"" Ganguly says about Shubman Gill's Test future",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360922.html
"Harmanpreet Kaur rues luck, missed chances after tense semi-final exit",https://www.espncricinfo.com/ci/content/story/1360455.html?ex_cid=OTC-RSS,"Thu, 23 Feb 2023 18:46:11","""We can't be unluckier than this,"" she said of her run-out while also praising Rodrigues",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360455.html
Australia clinch thriller to make seventh straight final,https://www.espncricinfo.com/ci/content/story/1360399.html?ex_cid=OTC-RSS,"Thu, 23 Feb 2023 17:29:22","Mooney, Lanning, Gardner, Brown, Jonassen put in crucial contributions as India fall just short",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360399.html
India need everything to click to make it past favourites Australia,https://www.espncricinfo.com/ci/content/story/1360300.html?ex_cid=OTC-RSS,"Thu, 23 Feb 2023 07:15:33",Both teams are yet to put up the perfect performance but boast enough depth to make the semi-final exciting,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360300.html
Anderson reclaims No. 1 spot in Test bowling rankings; Hasaranga at top in T20Is,https://www.espncricinfo.com/ci/content/story/1360275.html?ex_cid=OTC-RSS,"Wed, 22 Feb 2023 09:36:15",The England veteran is the oldest man to top the charts since Clarrie Grimmett in 1936,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360275.html
Tata bags title rights for the Women's Premier League,https://www.espncricinfo.com/ci/content/story/1360204.html?ex_cid=OTC-RSS,"Tue, 21 Feb 2023 16:17:49","According to a BCCI source, the deal is for five years ",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360204.html
'Fully fit' Chahar ready to make comeback at IPL 2023,https://www.espncricinfo.com/ci/content/story/1360164.html?ex_cid=OTC-RSS,"Tue, 21 Feb 2023 13:10:14",Fast bowler says he has recovered from a stress fracture and quad grade 3 tear following extensive rehab at the NCA,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360164.html
"ICC rankings: Richa Ghosh, Amelia Kerr and Muneeba Ali reach career-best numbers",https://www.espncricinfo.com/ci/content/story/1360153.html?ex_cid=OTC-RSS,"Tue, 21 Feb 2023 09:52:31","Renuka Singh's five-for against England lifted her to No. 5 among bowlers, as Lea Tahuhu moved from tenth to seventh",espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360153.html
Harmanpreet: India need to address high dot-ball count,https://www.espncricinfo.com/ci/content/story/1360123.html?ex_cid=OTC-RSS,"Mon, 20 Feb 2023 21:04:07",Captain wants more proactivity in likely semi-final showdown with Australia,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360123.html
Mandhana's career-best powers India into semis,https://www.espncricinfo.com/ci/content/story/1360084.html?ex_cid=OTC-RSS,"Mon, 20 Feb 2023 17:26:59",Ireland were five runs behind the DLS par score when rain forced an early end to the game,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360084.html
Jadeja and Axar: Sweep and reverse sweep are difficult here,https://www.espncricinfo.com/ci/content/story/1360048.html?ex_cid=OTC-RSS,"Mon, 20 Feb 2023 09:08:04",Axar avoided it while making 74 crucial runs for India; Jadeja benefited from Australia's overuse of it to finish with a match haul of ten wickets,espncricinfo,espncricinfo India,https://www.espncricinfo.com/ci/content/story/1360048.html
